"diplomat_id","person_id","person_item","rank_item","rank_acquisition_date"
1,1722024,Q4055717,Q137783787,"28.12.2018"
2,1722025,Q112992677,Q137783787,"11.06.2025"
3,840280,Q16166631,Q137783787,"08.06.2020"
4,839427,Q136815717,Q137783787,"11.06.2025"
5,1721785,Q112992858,Q137783787,"10.06.2022"
6,842174,Q120279437,Q137783787,"09.06.2023"
7,840046,Q130286610,Q137783787,"01.10.2024"
8,1722026,Q15845822,Q137783787,"28.12.2021"
9,839317,Q4065528,Q137783787,"28.12.2004"
10,11733,Q4067324,Q137783787,"12.07.2007"
11,836981,Q140121783,Q137783787,"09.06.2023"
12,834467,Q15064185,Q137783787,"13.06.2013"
13,839420,Q60827558,Q137783787,"02.10.2023"
14,836511,Q15064257,Q137783787,"09.06.2023"
15,840825,Q138609592,Q137783787,"26.12.2025"
16,1722030,Q18236188,Q137783787,"09.06.2023"
17,836933,Q15090153,Q137783787,"26.12.2017"
18,844322,Q124770178,Q137783787,"09.02.2021"
19,836851,Q47453187,Q137783787,"26.12.2025"
20,841356,Q70254625,Q137783787,"29.12.2022"
21,1721791,Q109490441,Q137783787,"26.12.2025"
22,1722290,Q124770029,Q137783787,"28.12.2021"
23,1721792,Q140121784,Q137783787,"01.11.2025"
24,1721796,Q136815712,Q137783787,"11.06.2025"
25,11518,Q4089252,Q137783787,"31.01.2001"
26,842058,Q124770171,Q137783787,"12.09.2022"
27,834814,Q60835664,Q137783787,"02.10.2023"
28,842893,Q97343745,Q137783787,"10.02.2018"
29,841849,Q97343747,Q137783787,"09.02.2023"
30,845218,Q4094465,Q137783787,"28.09.2004"
31,843470,Q4095272,Q137783787,"10.02.2017"
32,1721798,Q4096013,Q137783787,"29.12.2005"
33,839222,Q19907863,Q137783787,"28.12.2021"
34,1722291,Q140121785,Q137783787,"13.06.2018"
35,1721527,Q120281339,Q137783787,"08.06.2020"
36,1721530,Q4103372,Q137783787,"10.01.2006"
37,840212,Q18237276,Q137783787,"11.06.2019"
38,834417,Q27979827,Q137783787,"13.06.2018"
39,168052,Q18237376,Q137783787,"29.08.2007"
40,834093,Q53562881,Q137783787,"01.10.2019"
41,838643,Q28497288,Q137783787,"10.06.2017"
42,1721808,Q16630585,Q137783787,"11.02.2008"
43,1721812,Q15065088,Q137783787,"01.10.2019"
44,1722292,Q63075648,Q137783787,"11.06.2019"
45,996,Q124770455,Q137783787,"10.02.2016"
46,834729,Q4132780,Q137783787,"16.12.2014"
47,834286,Q136816052,Q137783787,"26.12.2025"
48,834907,Q28497343,Q137783787,"10.02.2012"
49,11517,Q15065272,Q137783787,"12.07.2010"
50,834086,Q70252256,Q137783787,"29.12.2022"
51,1721815,Q124769907,Q137783787,"02.10.2020"
52,839903,Q124771355,Q137783787,"13.02.2024"
53,846139,Q123291095,Q137783787,"09.06.2023"
54,1722293,Q3596041,Q137783787,"08.02.2019"
55,1722294,Q21638402,Q137783787,"11.06.2019"
56,835957,Q62713977,Q137783787,"13.09.2021"
57,836601,Q4150279,Q137783787,"13.12.2019"
58,168182,Q3658303,Q137783787,"12.07.2004"
59,227,Q188296,Q137783787,"10.06.2022"
60,836046,Q21638568,Q137783787,"08.06.2020"
61,838562,Q18613657,Q137783787,"10.02.2016"
62,1722035,Q18238584,Q137783787,"09.06.2023"
63,842473,Q65147835,Q137783787,"02.10.2023"
64,1722295,Q4159701,Q137783787,"26.12.2017"
65,841804,Q136815744,Q137783787,"11.06.2025"
66,836739,Q55104830,Q137783787,"09.06.2023"
67,1721825,Q131783603,Q137783787,"27.12.2024"
68,845813,Q18239098,Q137783787,"10.02.2018"
69,1722037,Q120279638,Q137783787,"13.06.2018"
70,837490,Q116264650,Q137783787,"02.10.2023"
71,836227,Q28497991,Q137783787,"13.09.2021"
72,844636,Q30880268,Q137783787,"28.12.2018"
73,836710,Q15206633,Q137783787,"03.09.2018"
74,842998,Q56308102,Q137783787,"02.10.2023"
75,837083,Q109492160,Q137783787,"28.12.2021"
76,834257,Q124769641,Q137783787,"02.10.2023"
77,1722042,Q20812953,Q137783787,"08.06.2020"
78,1722043,Q15066985,Q137783787,"01.11.2025"
79,1721831,Q123731017,Q137783787,"13.06.2024"
80,841896,Q18242464,Q137783787,"28.07.2008"
81,1722296,Q15067127,Q137783787,"12.09.2022"
82,840928,Q60836056,Q137783787,"02.10.2023"
83,1737,Q561800,Q137783787,"09.02.2023"
84,1722044,Q138609583,Q137783787,"26.12.2025"
85,60756,Q124770196,Q137783787,"10.02.2018"
86,840894,Q109486604,Q137783787,"13.09.2021"
87,842871,Q106355035,Q137783787,"02.10.2023"
88,1721835,Q4206757,Q137783787,"12.07.2010"
89,836855,Q109487598,Q137783787,"29.12.2022"
90,844311,Q4211833,Q137783787,"13.11.2007"
91,846211,Q15845826,Q137783787,"14.11.2012"
92,840271,Q4759182,Q137783787,"14.12.2012"
93,1721838,Q4719314,Q137783787,"10.02.2017"
94,841377,Q115280763,Q137783787,"09.06.2023"
95,842776,Q124770248,Q137783787,"08.11.2023"
96,834855,Q43428694,Q137783787,"09.06.2023"
97,835245,Q98609670,Q137783787,"26.12.2025"
98,841087,Q15069041,Q137783787,"10.02.2018"
99,840464,Q56307557,Q137783787,"28.12.2021"
100,839948,Q4233966,Q137783787,"10.02.2018"
101,1721848,Q123156588,Q137783787,"02.10.2023"
102,835121,Q15070319,Q137783787,"23.04.2013"
103,845643,Q15070631,Q137783787,"11.06.2019"
104,843202,Q4245044,Q137783787,"23.04.2013"
105,841443,Q4245337,Q137783787,"17.11.2009"
106,1721858,Q2563234,Q137783787,"02.10.2023"
107,843662,Q60827388,Q137783787,"28.12.2018"
108,1721860,Q4246562,Q137783787,"01.05.2012"
109,834214,Q16668903,Q137783787,"25.12.2020"
110,843395,Q55653779,Q137783787,"02.10.2023"
111,836909,Q18244769,Q137783787,"13.09.2021"
112,666,Q58217,Q137783787,"05.06.1992"
113,844887,Q97661636,Q137783787,"01.11.2025"
114,1722297,Q109487647,Q137783787,"13.06.2024"
115,844639,Q111033873,Q137783787,"20.02.2023"
116,837422,Q109486621,Q137783787,"28.12.2021"
117,1721865,Q15071283,Q137783787,"12.09.2022"
118,1721867,Q109495897,Q137783787,"11.06.2019"
119,836348,Q23656173,Q137783787,"10.02.2018"
120,842601,Q28836368,Q137783787,"01.10.2024"
121,1721869,Q140121786,Q137783787,"01.11.2025"
122,839295,Q21104570,Q137783787,"10.02.2016"
123,843002,Q56308093,Q137783787,"02.10.2023"
124,1721876,Q4277568,Q137783787,"14.11.2007"
125,1721878,Q4279408,Q137783787,"18.02.2015"
126,1721879,Q18740960,Q137783787,"28.12.2021"
127,841817,Q71164408,Q137783787,"09.06.2023"
128,836311,Q18245833,Q137783787,"10.02.2016"
129,843384,Q41199641,Q137783787,"08.06.2020"
130,845971,Q21106538,Q137783787,"01.10.2019"
131,846103,Q97459498,Q137783787,"12.09.2022"
132,11519,Q2643961,Q137783787,"28.12.2004"
133,129584,Q3050754,Q137783787,"09.02.2010"
134,838528,Q18246235,Q137783787,"01.10.2019"
135,11521,Q4302421,Q137783787,"01.05.2012"
136,1721887,Q15073486,Q137783787,"02.10.2023"
137,11523,Q1000053,Q137783787,"10.02.2014"
138,841742,Q4317737,Q137783787,"15.07.2005"
139,833811,Q4318244,Q137783787,"10.02.2012"
140,837090,Q70254899,Q137783787,"07.02.2020"
141,841195,Q124770075,Q137783787,"09.02.2023"
142,63632,Q18634693,Q137783787,"03.09.2018"
143,842714,Q131305457,Q137783787,"01.10.2024"
144,1722058,Q4332124,Q137783787,"28.12.2021"
145,100,Q4339012,Q137783787,"27.12.2024"
146,845796,Q65148465,Q137783787,"10.06.2017"
147,60757,Q64401399,Q137783787,"10.02.2018"
148,1722063,Q120281156,Q137783787,"02.10.2020"
149,1721900,Q15079490,Q137783787,"03.09.2018"
150,841284,NONE,Q137783787,"27.12.2024"
151,843103,Q109492484,Q137783787,"28.12.2021"
152,1721901,Q124770727,Q137783787,"29.12.2023"
153,1722067,Q109486517,Q137783787,"13.06.2024"
154,1721905,Q131783564,Q137783787,"11.06.2025"
155,839683,Q140121787,Q137783787,"09.02.2023"
156,837476,Q4718737,Q137783787,"11.06.2019"
157,836110,Q64493057,Q137783787,"26.07.2021"
158,1721906,Q136816181,Q137783787,"10.02.2026"
159,837335,Q4389751,Q137783787,"28.01.2004"
160,1721913,Q70254811,Q137783787,"13.06.2018"
161,834728,Q60827981,Q137783787,"10.06.2022"
162,837763,Q98593930,Q137783787,"13.02.2024"
163,376748,Q85820751,Q137783787,"02.10.2020"
164,11522,Q4402403,Q137783787,"04.03.2009"
165,838740,Q29225113,Q137783787,"02.10.2023"
166,1721923,Q21152631,Q137783787,"12.09.2022"
167,843788,Q40037788,Q137783787,"09.02.2023"
168,5372,Q102428569,Q137783787,"26.12.2017"
169,846085,Q56308082,Q137783787,"09.06.2023"
170,840009,Q15076897,Q137783787,"11.06.2025"
171,838236,Q28500596,Q137783787,"17.10.2016"
172,836951,Q18741037,Q137783787,"05.12.2013"
173,1721929,Q15076779,Q137783787,"02.10.2023"
174,839973,Q41573926,Q137783787,"02.10.2023"
175,844095,Q107262941,Q137783787,"13.09.2021"
176,844593,Q109489862,Q137783787,"09.06.2023"
177,1721930,Q124770427,Q137783787,"10.06.2017"
178,1722072,Q136815498,Q137783787,"11.06.2025"
179,844677,Q40039888,Q137783787,"12.09.2022"
180,839914,Q23656586,Q137783787,"28.12.2021"
181,1722298,Q18278475,Q137783787,"13.06.2018"
182,843326,Q39082657,Q137783787,"10.02.2022"
183,841280,Q15074664,Q137783787,"16.07.2012"
184,844851,Q65129933,Q137783787,"09.02.2023"
185,5352,Q4458253,Q137783787,"10.02.2004"
186,1722299,Q18409512,Q137783787,"11.06.2021"
187,1721939,Q19916949,Q137783787,"01.04.2024"
188,835732,Q15071540,Q137783787,"30.07.2012"
189,835659,Q65128394,Q137783787,"02.10.2023"
190,1721944,Q124770092,Q137783787,"09.02.2021"
191,844585,Q24668916,Q137783787,"13.09.2021"
192,838829,Q56308285,Q137783787,"10.02.2017"
193,840276,Q60827702,Q137783787,"01.04.2024"
194,834900,Q18741066,Q137783787,"04.06.2014"
195,1722075,Q16713162,Q137783787,"27.07.1998"
196,837479,Q21857272,Q137783787,"09.02.2023"
197,842609,Q140121788,Q137783787,"09.06.2023"
198,842497,Q47453478,Q137783787,"29.12.2022"
199,835670,Q56308208,Q137783787,"27.12.2024"
200,838368,Q84721860,Q137783787,"02.10.2023"
201,837029,Q18280162,Q137783787,"13.06.2018"
202,1721334,Q827054,Q137783787,"09.06.2023"
203,834050,Q64011214,Q137783787,"11.06.2019"
204,837194,Q4527247,Q137783787,"21.05.2010"
205,1721962,Q4527271,Q137783787,"02.07.2003"
206,846335,Q4527538,Q137783787,"06.03.2007"
207,1722079,Q124770193,Q137783787,"13.06.2018"
208,1722080,Q140121789,Q137783787,"09.06.2023"
209,838553,Q21820702,Q137783787,"13.12.2019"
210,844886,Q28839968,Q139927408,"02.10.2023"
211,834410,Q140121790,Q139927408,"02.10.2023"
212,1722300,Q140121791,Q139927408,"10.06.2022"
213,1722031,Q130286204,Q139927408,"27.12.2024"
214,842283,Q40029902,Q139927408,"11.06.2019"
215,1722301,Q109494080,Q139927408,"09.02.2023"
216,844716,Q112992859,Q139927408,"10.06.2022"
217,1721799,Q140121792,Q139927408,"26.12.2025"
218,843705,Q140121793,Q139927408,"25.12.2020"
219,1722302,Q140121794,Q139927408,"29.12.2022"
220,1721800,Q140121795,Q139927408,"26.12.2025"
221,840890,Q28497262,Q139927408,"05.05.2016"
222,1722303,Q140121796,Q139927408,"26.12.2025"
223,1721810,Q140121797,Q139927408,"13.02.2024"
224,835919,Q65148735,Q139927408,"12.09.2022"
225,837627,Q140121798,Q139927408,"08.11.2023"
226,837496,Q140121799,Q139927408,"09.06.2023"
227,1722304,Q140121800,Q139927408,"11.06.2025"
228,1722305,Q124769825,Q139927408,"11.06.2025"
229,839476,Q55104407,Q139927408,"02.10.2020"
230,1721821,Q28799078,Q139927408,"13.06.2024"
231,844914,Q140121801,Q139927408,"26.12.2017"
232,1722036,Q55652636,Q139927408,"10.06.2017"
233,1722306,Q140121802,Q139927408,"11.06.2025"
234,843359,Q140121803,Q139927408,"08.11.2023"
235,845846,Q140121804,Q139927408,"13.02.2024"
236,839653,Q140121805,Q139927408,"11.06.2025"
237,834510,NONE,Q139927408,"13.06.2018"
238,1721827,Q140121806,Q139927408,"01.10.2024"
239,844962,Q137427649,Q139927408,"13.06.2024"
240,845853,Q97343779,Q139927408,"10.02.2022"
241,838373,Q109495183,Q139927408,"09.02.2023"
242,1722040,Q130285919,Q139927408,"13.06.2024"
243,840921,Q140121807,Q139927408,"09.06.2023"
244,1722307,Q138609651,Q139927408,"11.06.2025"
245,1722045,Q28819033,Q139927408,"28.12.2018"
246,837866,Q72698975,Q139927408,"29.12.2022"
247,845638,Q84724113,Q139927408,"13.09.2021"
248,1722308,Q140121808,Q139927408,"01.11.2025"
249,844011,Q140121809,Q139927408,"08.07.2016"
250,836020,Q140121810,Q139927408,"12.09.2022"
251,835049,Q140121811,Q139927408,"28.12.2018"
252,1721839,Q18243696,Q139927408,"08.07.2016"
253,1721841,Q140121812,Q139927408,"09.06.2023"
254,1722309,Q124771351,Q139927408,"13.02.2024"
255,1721845,Q140121813,Q139927408,"28.12.2021"
256,843622,Q84721857,Q139927408,"13.09.2021"
257,1721853,Q140121814,Q139927408,"10.02.2014"
258,842041,Q60835640,Q139927408,"25.12.2020"
259,1722310,Q140121815,Q139927408,"01.04.2024"
260,843245,Q109490858,Q139927408,"09.02.2023"
261,1722049,Q131305516,Q139927408,"01.11.2025"
262,1722051,Q140121816,Q139927408,"02.10.2023"
263,1721866,Q140121817,Q139927408,"02.10.2023"
264,1721868,Q140121818,Q139927408,"26.12.2025"
265,1722311,Q140121819,Q139927408,"31.07.2023"
266,1722312,Q140121820,Q139927408,"01.04.2024"
267,1721872,Q140121821,Q139927408,"02.10.2023"
268,1722313,Q140121822,Q139927408,"10.02.2026"
269,840732,Q60827474,Q139927408,"13.09.2021"
270,834623,Q29865271,Q139927408,"02.10.2023"
271,1722314,Q140121823,Q139927408,"09.06.2023"
272,1721884,Q110068355,Q139927408,"01.04.2024"
273,1722315,Q72308749,Q139927408,"01.11.2025"
274,1722316,Q140121824,Q139927408,"13.06.2024"
275,1721885,Q138566590,Q139927408,"13.06.2018"
276,841984,Q109493923,Q139927408,"09.06.2023"
277,1721886,Q16677574,Q139927408,"10.02.2017"
278,1721891,Q140121825,Q139927408,"13.02.2024"
279,839263,Q124770979,Q139927408,"28.12.2018"
280,1722317,Q109487618,Q139927408,"11.06.2021"
281,1721895,Q140121826,Q139927408,"01.04.2024"
282,1722318,Q140121827,Q139927408,"02.10.2023"
283,1722060,Q109487624,Q139927408,"13.09.2021"
284,1721899,Q140121828,Q139927408,"01.10.2024"
285,841494,Q140121829,Q139927408,"03.09.2018"
286,1722065,Q134725291,Q139927408,"01.11.2025"
287,1722066,Q140121830,Q139927408,"10.02.2026"
288,1722319,Q137595586,Q139927408,"10.02.2026"
289,1722320,Q120279759,Q139927408,"13.02.2024"
290,1722321,Q140121831,Q139927408,"01.11.2025"
291,1721907,Q140121832,Q139927408,"01.11.2025"
292,1722322,Q140121833,Q139927408,"13.06.2024"
293,1722323,Q140121834,Q139927408,"11.06.2025"
294,1721909,Q140121835,Q139927408,"01.10.2024"
295,1721912,Q134382182,Q139927408,"01.11.2025"
296,1722324,Q140121836,Q139927408,"09.02.2023"
297,1722069,Q113412361,Q139927408,"02.10.2023"
298,1722325,Q140121837,Q139927408,"13.06.2024"
299,842125,Q140121838,Q139927408,"03.09.2018"
300,1722326,Q133798396,Q139927408,"01.11.2025"
301,1721927,Q120267213,Q139927408,"01.10.2024"
302,836412,Q24010799,Q139927408,"03.09.2018"
303,1721932,Q140121839,Q139927408,"02.10.2023"
304,838585,Q140121840,Q139927408,"18.02.2015"
305,1721938,Q131305865,Q139927408,"13.02.2024"
306,844340,Q140121841,Q139927408,"13.06.2018"
307,834675,Q126953009,Q139927408,"13.06.2018"
308,1722327,Q88627374,Q139927408,"09.06.2023"
309,1722328,Q140121842,Q139927408,"11.06.2021"
310,1722074,Q140121843,Q139927408,"11.06.2025"
311,1722329,Q140121844,Q139927432,"26.12.2025"
312,1722330,Q140121845,Q139927408,"01.10.2024"
313,1721952,Q124770245,Q139927408,"01.04.2024"
314,841665,Q140121846,Q139927408,"03.09.2018"
315,1721956,Q140121847,Q139927408,"09.06.2023"
316,1722078,Q140121849,Q139927408,"29.12.2022"
317,1722331,Q140121850,Q139927408,"09.06.2023"
318,1721961,Q140121851,Q139927408,"10.02.2022"
319,1721963,Q112993706,Q139927408,"09.06.2023"
320,837524,Q84725567,Q139927408,"09.02.2021"
321,845787,Q140121852,Q139927408,"03.09.2018"
322,1721784,Q140121853,Q139927432,"10.02.2025"
323,834690,Q140121854,Q139927432,"13.12.2019"
324,1722023,Q140121855,Q139927432,"29.12.2022"
325,845267,Q140121856,Q139927432,"01.10.2019"
326,835092,Q140121857,Q139927432,"17.09.2012"
327,837467,Q140121858,Q139927432,"25.05.2006"
328,1721786,Q140121859,Q139927432,"11.06.2025"
329,1722027,Q140121860,Q139927432,"15.08.2013"
330,841014,Q140121861,Q139927432,"10.02.2016"
331,836625,Q140121862,Q139927432,"22.12.2015"
332,1722028,Q140121863,Q139927432,"02.10.2023"
333,1722029,Q140121864,Q139927432,"13.09.2021"
334,1722332,Q140121865,Q139927432,"01.11.2025"
335,1721787,Q140121866,Q139927432,"01.11.2025"
336,1721788,Q140121867,Q139927432,"13.09.2021"
337,837699,Q72459699,Q139927432,"07.02.2020"
338,1722333,Q16535533,Q139927432,"11.02.2008"
339,1721789,Q140121868,Q139927432,"13.06.2018"
340,1721790,Q140121869,Q139927432,"01.11.2025"
341,838592,Q140121870,Q139927432,"08.06.2020"
342,1722334,Q140121871,Q139927432,"11.06.2021"
343,1722335,Q140121872,Q139927432,"10.02.2017"
344,1722336,Q140121873,Q139927432,"10.06.2022"
345,1722337,Q140121874,Q139927432,"28.12.2021"
346,1722338,Q140121875,Q139927432,"11.06.2019"
347,1722339,Q140121876,Q139927432,"13.06.2018"
348,1721793,Q140121877,Q139927432,"07.11.2012"
349,1721794,Q140121878,Q139927432,"29.12.2022"
350,1721795,Q140121879,Q139927432,"26.12.2025"
351,1722340,Q140121880,Q139927432,"27.12.2024"
352,1722341,Q140121881,Q139927432,"02.10.2023"
353,839245,Q140121882,Q139927432,"08.02.2019"
354,845408,Q140121883,Q139927432,"10.06.2017"
355,1722342,Q140121884,Q139927432,"10.06.2017"
356,1721797,Q140121885,Q139927432,"10.06.2017"
357,1722343,Q140121886,Q139927432,"28.12.2018"
358,1722344,Q140121887,Q139927432,"10.06.2017"
359,1722345,Q140121888,Q139927432,"26.12.2017"
360,1722346,Q140121889,Q139927432,"10.02.2016"
361,1395512,Q140121890,Q139927432,"01.04.2024"
362,838897,Q140121891,Q139927432,"17.01.2011"
363,834766,Q140121892,Q139927432,"08.06.2020"
364,1721801,Q140121893,Q139927432,"29.12.2022"
365,834864,Q140121894,Q139927432,"10.02.2017"
366,1721802,Q140121895,Q139927432,"01.04.2024"
367,1721803,Q140121896,Q139927432,"29.12.2022"
368,1722032,Q140121897,Q139927432,"13.09.2021"
369,1722347,Q140121898,Q139927432,"02.10.2023"
370,1722348,Q140121899,Q139927432,"02.10.2020"
371,1722349,Q140121900,Q139927432,"02.10.2023"
372,1721804,Q140121901,Q139927432,"13.06.2024"
373,834226,Q140121902,Q139927432,"03.09.2018"
374,1721805,Q140121903,Q139927432,"13.02.2024"
375,469241,Q130286606,Q139927432,"21.07.2015"
376,1721806,Q140121904,Q139927432,"11.06.2025"
377,1721807,Q140121905,Q139927432,"09.06.2023"
378,1722350,Q140121906,Q139927432,"11.06.2019"
379,1721809,Q140121907,Q139927432,"13.09.2021"
380,1722351,Q140121908,Q139927432,"11.06.2019"
381,1722352,Q140121909,Q139927432,"11.06.2021"
382,1721811,Q140121910,Q139927432,"02.10.2023"
383,1722353,Q140121911,Q139927432,"01.04.2024"
384,1722354,Q136816810,Q139927432,"10.06.2022"
385,1721813,Q140121912,Q139927432,"29.12.2022"
386,1721814,Q140121913,Q139927432,"26.12.2025"
387,1722355,Q140121916,Q139927432,"01.04.2024"
388,1722033,Q131305924,Q139927432,"06.02.2009"
389,1722034,Q140121917,Q139927432,"01.04.2024"
390,1722356,Q140121918,Q139927432,"26.12.2025"
391,1722357,Q140121919,Q139927432,"13.06.2024"
392,1722358,Q140121920,Q139927432,"10.06.2022"
393,1721816,Q140121921,Q139927432,"13.09.2021"
394,1721817,Q140121922,Q139927432,"17.10.2016"
395,1722359,Q140121923,Q139927432,"02.10.2020"
396,1722360,Q140121924,Q139927432,"26.12.2025"
397,1722361,Q140121925,Q139927432,"10.02.2025"
398,1721818,Q140121926,Q139927432,"09.06.2023"
399,841493,Q110096961,Q139927432,"14.02.2006"
400,1722362,Q16639759,Q139927432,"01.10.2019"
401,1722363,Q140121927,Q139927432,"01.04.2024"
402,1721819,Q140121928,Q139927432,"29.12.2022"
403,1722364,Q140121929,Q139927432,"08.11.2023"
404,1722365,Q140121930,Q139927432,"01.11.2025"
405,836737,Q140121931,Q139927432,"13.09.2021"
406,1721820,Q140121932,Q139927432,"09.02.2021"
407,1722366,Q140121933,Q139927432,"01.10.2024"
408,1721822,Q140121934,Q139927432,"27.12.2024"
409,1721823,Q140121935,Q139927432,"20.05.2021"
410,1721824,Q140121936,Q139927432,"13.06.2024"
411,1722367,Q140121937,Q139927432,"01.10.2024"
412,842492,Q140121938,Q139927432,"08.06.2020"
413,1722368,Q140121939,Q139927432,"02.10.2020"
414,1722369,Q140121941,Q139927432,"25.12.2020"
415,1722370,Q140121942,Q139927432,"09.06.2023"
416,1721826,Q140121944,Q139927432,"28.12.2021"
417,360463,Q140121945,Q139927432,"01.04.2024"
418,1722371,Q140121946,Q139927432,"10.06.2022"
419,1722372,Q140121947,Q139927432,"01.04.2024"
420,1722373,Q140121948,Q139927432,"10.02.2018"
421,1722374,Q140121949,Q139927432,"11.06.2021"
422,1722375,Q140121950,Q139927432,"09.04.2013"
423,1722376,Q140121951,Q139927432,"09.02.2023"
424,1721783,Q140121952,Q139927432,"10.02.2025"
425,1722038,Q140121953,Q139927432,"10.02.2026"
426,1722377,Q140121954,Q139927432,"12.09.2022"
427,1722378,Q140121955,Q139927432,"10.06.2022"
428,1722379,Q140121956,Q139927432,"09.02.2023"
429,1722039,Q140121957,Q139927432,"29.12.2022"
430,1721828,Q140121958,Q139927432,"08.07.2016"
431,1722041,Q140121959,Q139927432,"10.02.2016"
432,1721829,Q140121960,Q139927432,"11.06.2025"
433,1721830,Q140121961,Q139927432,"12.09.2022"
434,1722380,Q140121962,Q139927432,"10.02.2022"
435,1722381,Q140121963,Q139927432,"10.02.2025"
436,1721832,Q140121964,Q139927432,"10.02.2026"
437,1721833,Q140121965,Q139927432,"01.04.2024"
438,1722382,Q140121966,Q139927432,"12.09.2022"
439,1721834,Q140121967,Q139927432,"08.06.2020"
440,1722383,Q140121968,Q139927432,"27.12.2024"
441,839404,Q140121969,Q139927432,"13.02.2024"
442,1722384,Q140121970,Q139927432,"01.10.2024"
443,1722385,Q4209441,Q139927432,"09.06.2023"
